name,id,principal,agent,date formed,status,type,street,city,state,zip
"PC LAW ASSOCIATES, LLC",1244525,KENNETH SMOLAR,CT CORPORATION SYSTEM,07/13/2017,Active,Foreign Limited Liability Company,"200 FLEET STREET, SUITE 6000",PITTSBURGH,PA,15220
"PEACE MAKERS LAW ENFORCEMENT MOTORCYCLE CLUB, INC.",1158559,"BLAKE STINE, KEITH WORTZ, RICH MILLER, SCOTT MCCUE",KEITH WORTZ,10/21/2014,Active,Domestic Non-Stock Corporation,PO BOX 2652,SHELTON,CT,6484
PEDRANI LAW LLC,1341233,KEITH PEDRANI,SECRETARY OF THE STATE OF CONNECTICUT,04/08/2020,Active,Foreign Limited Liability Company,10 HERITAGE ISLAND ROAD,NEW FAIRFIELD,CT,6812
"PELLEGRINO LAW FIRM, A PROFESSIONAL CORPORATION THE",36059,"BERNARD A. PELLEGRINO, BERNARD PELLEGRINO, FRANCES B GRANQUIST, MICHAEL D. SAFFER",BERNARD PELLEGRINO,05/01/1973,Active,Domestic Stock Corporation,475 WHITNEY AVENUE,NEW HAVEN,CT,6511
"PELLETIER LAW FIRM, LLC",1204906,MARY R. PELLETIER,MARY R. PELLETIER,05/16/2016,Active,Domestic Limited Liability Company,61 STATE ST,WETHERSFIELD,CT,6109
"PELORUS LAW GROUP, LLC",915744,DAVID B. BENOIT,DAVID B. BENOIT,10/16/2007,Dissolved,Domestic Limited Liability Company,"28 NORTH MAIN STREET, SUITE 201",WEST HARTFORD,CT,6107
"PELUD LAW FIRM, LLC",858357,SARAH J. PELUD,DAVID CARSON,05/01/2006,Dissolved,Domestic Limited Liability Company,"8 S. MICHIGAN AVE, SUITE 1202",CHICAGO,IL,60603
"PENNER LAW FIRM, LLC",848961,SCOTT PENNER,SCOTT PENNER,02/14/2006,Active,Domestic Limited Liability Company,"185 PLAINS ROAD, SUITE 302W",MILFORD,CT,6461
PERREAULT LAW OFFICES LLC,880426,BRIAN J. PERREAULT,BRIAN J. PERREAULT,11/27/2006,Active,Domestic Limited Liability Company,103 NOTTINGHALL GATE,TORRINGTON,CT,6790
"PERRY LAW CONSTRUCTION, LLC",604821,PERRY LAW,PERRY LAW,10/19/1998,Active,Domestic Limited Liability Company,3 KRYSTALLE LANE,OXFORD,CT,6478
"PETE DELGADO, ATTORNEY AT LAW, LLC",935590,PEDRO DELGADO JR.,PEDRO DELGADO JR.,04/18/2008,Active,Domestic Limited Liability Company,814 WHITE PLAINS ROAD,TRUMBULL,CT,6611
"PETER C. BARRETT ATTORNEY AT LAW, LLC",770050,PETER C. BARRETT,PETER C. BARRETT,01/05/2004,Active,Domestic Limited Liability Company,"140 CAPTAIN THOMAS BLVD, SUITE 116, SUITE 116",WEST HAVEN,CT,6516
"PETER L. BRENNAN, ATTORNEY AT LAW, L.L.C.",608086,PETER L. BRENNAN,LINH M. VU,12/07/1998,Dissolved,Domestic Limited Liability Company,15 HILLCREST RD.,EAST HARTFORD,CT,6108
"PETERS HAMLIN LAW, LLC",1313227,KRISTAN PETERS-HAMLIN,KRISTAN PETERS-HAMLIN,06/20/2019,Active,Domestic Limited Liability Company,37   NORTH AVE STE 201,NORWALK,CT,6851
"PETERSON LAW FIRM, L.L.C.",834826,DONNA M. PETERSON,DONNA M. PETERSON,09/23/2005,Active,Domestic Limited Liability Company,54 PARSONS LANDING ROAD,DOVER-FOXCROFT,ME,4426
"PET-LAW FARM, LLC",658817,GARY H. LAWRENCE,GARY H. LAWRENCE,08/11/2000,Dissolved,Domestic Limited Liability Company,38 PUMPKIN HILL ROAD,ASHFORD,CT,6278
"PETROSKEY LAW OFFICES, LLC",1020626,DANIEL PETROSKEY,DANIEL PETROSKEY,11/15/2010,Dissolved,Domestic Limited Liability Company,14 HICKORY COURT,WALLINGFORD,CT,6492
"PHILIP E. BERNS ATTORNEY AT LAW, LLC",605376,PHILIP E. BERNS,PHILIP E. BERNS,10/27/1998,Active,Domestic Limited Liability Company,440 BEDFORD ST.,STAMFORD,CT,6901
"PHILIP LAW, LLC",1234826,SUPHI A. PHILIP,SUPHI A. PHILIP,04/05/2017,Active,Domestic Limited Liability Company,526 TOWN COLONY DRIVE,MIDDLETOWN,CT,6457
"PIERSON LAW FIRM, LLC",1024372,JAN A. COSTELLO,JAN A. COSTELLO,01/03/2011,Active,Domestic Limited Liability Company,30 OLD KINGS HIGHWAY S,DARIEN,CT,6820
PINDER LAW OFFICE LLC,1276183,LYNN M PINDER,LYNN M. PINDER,06/13/2018,Active,Domestic Limited Liability Company,588 BOSTON POST ROAD,MADISON,CT,6443
"PINNACLE LAW GROUP, PC",1285232,ROBIN KIM,"REGISTERED AGENT SOLUTIONS, INC.",09/17/2018,Active,Foreign Stock Corporation,"3500 W. OLIVE AVENUE, SUITE 300",BURBANK,CA,91505
"PINTORE MARKETPLACE AT UCONN LAW, LLC",797848,KELLEANNE JONES,KELLEANNE JONES,09/29/2004,Dissolved,Domestic Limited Liability Company,103 WOODLAND STREET,HARTFORD,CT,6105
"PIPER PAUL LAW, LLC",871999,PIPER PAUL,PIPER A. PAUL,09/07/2006,Active,Domestic Limited Liability Company,"1465 POST ROAD EAST, #100",WESTPORT,CT,6880
"PISCATELLI LAW, LLC",1309064,SARAH PISCATELLI,SARAH PISCATELLI,05/09/2019,Active,Domestic Limited Liability Company,11 FINNEY ST. EXT.,ANSONIA,CT,6401
PITE LAW OFFICE LLC,769824,DAVID C. PITE,"MICHAEL G. MILAZZO, ESQ.",01/02/2004,Active,Domestic Limited Liability Company,1948 CHAPEL ST,NEW HAVEN,CT,6515
"PJM LAW, LLC",1289930,PHILIP MADDALENA,BRIAN V. ALTIERI,11/07/2018,Active,Domestic Limited Liability Company,184 SUMMER STREET,PLANTSVILLE,CT,6479
"POLINSKY LAW GROUP, LLC",895686,"ERIC POLINSKY, JEFFREY L. POLINSKY",JEFFREY L. POLINSKY,04/12/2007,Active,Domestic Limited Liability Company,890 WEST BLVD.,HARTFORD,CT,6105
"POMPANO LAW, LLC",1228602,RICHARD C. POMPANO,RICHARD C. POMPANO,01/20/2017,Active,Domestic Limited Liability Company,40 HALL ST,NEW HAVEN,CT,6512
"PORZIO LAW OFFICES, LLC",667134,JULIE M. PORZIO,JULIE M. PORZIO,11/29/2000,Active,Domestic Limited Liability Company,25 STATE ST.,WATERBURY,CT,6702
"POST LAW, LLC",1202661,"POST LAW, LLC",DAVID A. POST,04/08/2016,Active,Domestic Limited Liability Company,"437 NAUBUC AVENUE, SUITE 107",GLASTONBURY,CT,6033
"POTOK LAW, LLC",997453,BENJAMIN K. POTOK,BENJAMIN K POTOK,02/26/2010,Active,Domestic Limited Liability Company,"747 FARMINGTON AVE., SUITE 9",NEW BRITAIN,CT,6053
"POTOMAC LAW GROUP, LLC",1125661,"BENJAMIN Y. LIEBER, MARLENE LARO",SECRETARY OF THE STATE,11/15/2013,Active,Foreign Limited Liability Company,"1300 PENNSYLVANIA AVENUE, NW, SUITE 700",WASHINGTON,DC,20004
"POWERS, ATTORNEYS AT LAW, LLC",1075352,JAMES M. POWERS,JAMES M. POWERS,06/13/2012,Active,Domestic Limited Liability Company,8 ELM STREET,NEW MILFORD,CT,6776
"PRACTISING LAW INSTITUTE, LLC",600784,FREDERICK A. THOMAS,FREDERICK A. THOMAS,08/28/1998,Dissolved,Domestic Limited Liability Company,19 MAYAPPLE ROAD,WILTON,CT,6897
"PRIEST MAOZ LAW, LLC",1175092,JADE M. PRIEST-MAOZ,JADE MARIE PRIEST-MAOZ,05/15/2015,Dissolved,Domestic Limited Liability Company,5 FOREST TRAIL,WOODBRIDGE,CT,6525
"PROSPECT STREET LAW PARTNERS, LLP",562874,,,05/15/1997,Active,Domestic Limited Liability Partnership,"355 PROSPECT STREET, P.O. BOX 239",TORRINGTON,CT,6790
PUBLIC INTEREST LAW PROJECT INCORPORATED,283668,,SUSAN NOFI,02/18/1993,Dissolved,Domestic Non-Stock Corporation,"QUINNIPIAC UNIVERSITY SCHOOL OF LAW, 275 MOUNT CARMEL AVE",HAMDEN,CT,6518
"PURVIS LAW GROUP, LLC",850032,DAVID PURVIS,DAVID R. PURVIS,02/23/2006,Active,Domestic Limited Liability Company,56 ARBOR ST STE 325,HARTFORD,CT,6106
"PUZZIO LAW GROUP, LLC",1016373,JOHN M. PUZZIO,JOHN M. PUZZIO,09/28/2010,Active,Domestic Limited Liability Company,64 WEDGEWOOD RD.,TRUMBULL,CT,6611
"QURAISHI LAW OFFICES, LLC",704674,NAVEED A. QURAISHI,NAVEED A. QURAISHI,02/06/2002,Active,Domestic Limited Liability Company,677 SILVER LANE,EAST HARTFORD,CT,6118
"RALPH C. CROZIER LAW OFFICES, P.C.",138408,"ELY CROZIER, RALPH C. CROZIER","THOMAS F. GUDSNUK, ESQUIRE",01/12/1983,Dissolved,Domestic Stock Corporation,7 WAKELEY ST.,SEYMOUR,CT,6483
"RAMOS LAW, LLC",1030825,"IVAN A. RAMOS, TERESITA RAMOS",IVAN A. RAMOS,03/04/2011,Active,Domestic Limited Liability Company,"255 MAIN STREET, SUITE 401",HARTFORD,CT,6106
"RAMUTH LAW, LLC",1331992,ILLANA RAMUTH,ILLANA RAMUTH,01/06/2020,Active,Domestic Limited Liability Company,"301 COMMONS PARK SOUTH, #1115",STAMFORD,CT,6902
"RANDALL A. ORTEGA, ATTORNEY AT LAW, L.L.C.",737050,RANDALL A. ORTEGA,RANDALL A. ORTEGA,01/16/2003,Active,Domestic Limited Liability Company,60 CHELSEA HARBOR DRIVE,NORWICH,CT,6360
"RANDALL LAW, LLC",1114166,KAREN B RANDALL,KAREN B RANDALL,07/26/2013,Active,Domestic Limited Liability Company,28 LILY ONND LANE,HARWINGTON,CT,6791
"RANDEL LAW OFFICES, LLC",964736,JIM RANDEL,JIM RANDEL,03/05/2009,Active,Domestic Limited Liability Company,265 POST ROAD WEST,WESTPORT,CT,6880
"RAYMOND FAMILY LAW, LLC",1205462,TYLER AURELE RAYMOND,TYLER AURELE RAYMOND,05/06/2016,Active,Domestic Limited Liability Company,"1000 LAFAYETTE BLVD., STE. 1100",BRIDGEPORT,CT,6604
RAYMOND LAW GROUP LLC,895689,BRUCE H. RAYMOND,BRUCE H. RAYMOND,04/12/2007,Active,Domestic Limited Liability Company,100 SYCAMORE STREET,GLASTONBURY,CT,6033
"REAL ESTATE LAW GROUP, LLC",1163104,JASON MORYTKO,JASON MORYTKO,01/06/2015,Active,Domestic Limited Liability Company,"185 PLAINS ROAD, SUITE 305W",MILFORD,CT,6461
"REAL ESTATE LAW GROUP, LLC",649753,,SUZANN L. BECKETT,04/24/2000,Dissolved,Domestic Limited Liability Company,543 PROSPECT AVENUE,WEST HARTFORD,CT,6105
REAL LAW LLC,933135,"ANN E FISHER, MICHAEL F COLLINS",ANN E FISHER,03/27/2008,Active,Domestic Limited Liability Company,459 DANBURY RD,NEW MILFORD,CT,6776
"REAVES LAW FIRM, LLC",1236018,MAURICE REAVES,MAURICE REAVES,04/18/2017,Dissolved,Domestic Limited Liability Company,"6 MONROE STREET, 1ST FLOOR",NORTH HAVEN,CT,6473
"RED LAW FIRM, LLC",953468,SUSAN DALE RED,DAVID PITE,10/24/2008,Active,Domestic Limited Liability Company,"7 ELM STREET, FL 2, FL 2",NEW HAVEN,CT,6510
"REDVERS LAW OFFICES, LLC",783997,TREVOR S REDVERS,TREVOR S REDVERS,05/06/2004,Active,Domestic Limited Liability Company,"15 MAIN ST, PO BOX 265",EAST HADDAM,CT,6423
"REISMAN LAW FIRM, LLC",1033800,GLENN M. REISMAN,GLENN M. REISMAN,04/04/2011,Active,Domestic Limited Liability Company,"12 OLD HOLLOW ROAD, SUITE B",TRUMBULL,CT,6611
"RENEE S. FAHEY RN, ATTORNEY AT LAW, LLC",758545,RENEE S. GENTILE,RENEE S. FAHEY,09/02/2003,Active,Domestic Limited Liability Company,37 WATERBURY ROAD,PROSPECT,CT,6712
"RESCIA LAW, P.C.",1294493,KARA S RESCIA,PAIGE M. VAILLANCOURT,12/31/2018,Active,Domestic Stock Corporation,5104A BIGELOW COMMONS,ENFIELD,CT,6082
"RICHARD E. HAYBER, ATTORNEY AT LAW, LLC",668003,RICHARD EUGENE HAYBER,RICHARD E. HAYBER,12/07/2000,Dissolved,Domestic Limited Liability Company,"221 MAIN STREET, SUITE 400",HARTFORD,CT,6106
RICHARD E. JOAQUIN ATTORNEY AT LAW LIMITED LIABILITY COMPANY,729857,RICHARD E. JOAQUIN,RICHARD E. JOAQUIN,10/29/2002,Active,Domestic Limited Liability Company,439 MAIN ST.,YALESVILLE,CT,6492
RICHARD F. HOYE ATTORNEY AT LAW LLC,654837,RICHARD F. HOYE,VALERIE B. HOYE,06/21/2000,Active,Domestic Limited Liability Company,75 DUDLEY STREET,NEW BRITAIN,CT,6053
"RILEY LAW, LLC",1146511,MICHAEL RILEY,MICHAEL RILEY,06/16/2014,Active,Domestic Limited Liability Company,277 FAIRFIELD AVENUE,BRIDGEPORT,CT,6604
RLR LAW LLC,1311394,ROBERT L. RISPOLI,ROBERT L. RISPOLI,06/03/2019,Active,Domestic Limited Liability Company,60 ANDREWS ROAD,WOLCOTT,CT,6716
"RMG LAW GROUP, LLC",1250775,JEFFREY NEIDLE,JEFFREY R. NEIDLE,09/22/2017,Dissolved,Domestic Limited Liability Company,7 ROCKWELL PLACE,WEST HARTFORD,CT,6107
"ROBBINS LAW, LLC",1248881,GAVIN L. ROBBINS,GAVIN L. ROBBINS,08/14/2017,Active,Domestic Limited Liability Company,4 PONDSIDE PLACE,CHESHIRE,CT,6410
"ROBERT A. BEER, ATTORNEY AT LAW, LLC",806585,ROBERT A. BEER,ROBERT A. BEER,01/03/2005,Active,Domestic Limited Liability Company,30 MALTBIE RD,NEWTOWN,CT,6470
"ROBERT A. PHOTOS ATTORNEY AT LAW, LLC",1094734,ROBERT A. PHOTOS,ROBERT A. PHOTOS,01/24/2013,Active,Domestic Limited Liability Company,"56 BOSTON AVE, 2ND FLOOR",BRIDGEPORT,CT,6610
ROBERT E. BURNS ATTORNEY AT LAW L.L.C.,787371,"ROBERT E. BURNS, ATTORNEY AT LAW","ROBERT E. BURNS, ATTORNEY AT LAW",06/14/2004,Active,Domestic Limited Liability Company,"132 TEMPLE ST., 2ND FLR.",NEW HAVEN,CT,6510
ROBERT JAMES NACCARATO ATTORNEY AND COUNSELOR AT LAW LLC,881982,ROBERT JAMES NACCARATO,"ROBERT JAMES NACCARATO, ESQ.",12/13/2006,Active,Domestic Limited Liability Company,45 FAIR STREET,WALLINGFORD,CT,6492
"ROBERT J.B. LENHARDT ATTORNEY AT LAW, LLC",742955,ROBERT J.B. LENHARDT,DORIS E. WHITING,03/14/2003,Active,Domestic Limited Liability Company,"CONNECTICUT LAW OFFICES, 56 DARTMOUTH ROAD",MANCHESTER,CT,6040
"ROBERT J. BUCKLEY, ATTORNEY AT LAW, LLC",1236060,ROBERT J. BUCKLEY,"ANTHONY C. DEFILIPPIS, JR.",04/19/2017,Active,Domestic Limited Liability Company,189 WHITMAN AVENUE,WEST HARTFORD,CT,6107
"ROBERT J. GALIETTE ATTORNEY AT LAW, LLC",874423,ROBERT J. GALIETTE,ROBERT J. GALIETTE,09/29/2006,Active,Domestic Limited Liability Company,3 TEAL LANE,ESSEX,CT,6426
"ROBERT J. SICIGNANO JR., ATTORNEY AT LAW, LLC",978264,"ROBERT J. SICIGNANO, JR.",ROBERT J. SICIGNANO JR.,07/23/2009,Active,Domestic Limited Liability Company,16 NORTH POND ROAD,CHESHIRE,CT,6410
"ROBERT LUYSTERBORGHS, LLC, ATTORNEY AT LAW",641756,ROBERT LUYSTERBORGHS,BRENDA HENDERSON,01/28/2000,Dissolved,Domestic Limited Liability Company,167 NATCHAUG DRIVE,MERIDEN,CT,6450
"ROBERTS IMMIGRATION LAW GROUP, LLC",1103003,PETER D. ROBERTS,PETER D. ROBERTS,04/02/2013,Active,Domestic Limited Liability Company,"142 OLD RIDGEFIELD ROAD, SUITE 202/3",WILTON,CT,6897
"ROBERT W. SMITH LAW OFFICES, LLC",690688,ROBERT W. SMITH,"ROBERT W. SMITH, ESQ.",09/10/2001,Active,Domestic Limited Liability Company,"20 WOODSIDE AV., P.O. BOX 1263",MIDDLEBURY,CT,6762
ROBITAILLE LAW FIRM LLC,594448,VINCENT C. ROBITAILLE,VINCENT C. ROBITAILLE,06/02/1998,Active,Domestic Limited Liability Company,402 HIGHLAND AVENUE,CHESHIRE,CT,6410
"ROCKY HILL LAW OFFICES, LLC",1317870,ROBERT CUSHMAN,ROBERT CUSHMAN,08/08/2019,Active,Domestic Limited Liability Company,"21 NEW BRITAIN AVENUE, SUITE 218",ROCKY HILL,CT,6067
RODRIGUEZ IMMIGRATION LAW FIRM LLC,975170,JENNIFER S. RODRIGUEZ,JENNIFER S. RODRIGUEZ,06/19/2009,Active,Domestic Limited Liability Company,"141 DURHAM ROAD, SUITE 22",MADISON,CT,6443
"RODRIGUEZ LAW FIRM, L.L.C.",731049,LUIS RODRIGUEZ,LUIS R RODRIGUEZ,11/12/2002,Active,Domestic Limited Liability Company,349 WEST MAIN STREET,MERIDEN,CT,6451
"RODRIGUEZ RENDINA, ATTORNEYS-AT-LAW, P.C.",1050962,"DOMINICK RENDINA, VICTOR M. RODRIGUEZ",VICTOR RODRIGUEZ,10/12/2011,Dissolved,Domestic Stock Corporation,"36 MILL PLAIN ROAD, SUITE 211",DANBURY,CT,6811
ROGERS LAW FIRM LLC,513592,NORMAN E. ROGERS JR.,"NORMAN E. ROGERS, JR.",03/24/1995,Active,Domestic Limited Liability Company,"7 CHURCH STREET NORTH, P O BOX 1020",NEW HARTFORD,CT,6057
"ROGOL & ROGOL ATTORNEYS AT LAW, LLC",1012798,"ATTORNEY ALISSA M. ROGOL, ATTORNEY RHONNA W. ROGOL",LARRY F. GINSBERG,08/16/2010,Dissolved,Domestic Limited Liability Company,52 BLUE RIDGE DR,STAMFORD,CT,6903
"ROMANELLO LAW FIRM, LLC",1026693,"JOSEPH J. ROMANELLO, JR.","JOSEPH J. ROMANELLO, JR.",01/24/2011,Active,Domestic Limited Liability Company,"57 NORTH ST., SUITE 304, 118 GLEN ROAD",DANBURY,CT,6810
ROMANIELLO LAW FIRM LLC,881177,GLORIE ROMANIELLO,GLORIE ROMANIELLO,12/04/2006,Active,Domestic Limited Liability Company,"81 NORTH MAIN ST., SUITE 7",BRISTOL,CT,6010
"ROOKE-NORMAN & ASSOCIATES LAW OFFICES, LLC",824488,GAIL ROOKE-NORMAN,GAIL ROOKE-NORMAN,06/09/2005,Active,Domestic Limited Liability Company,"31 ACADEMY STREET, P. O. BOX 347",DANIELSON,CT,6239
"ROOPA MODHA LAW & PR, LLC",1166448,ROOPA MODHA,ROOPA KIRIT MODHA,01/20/2015,Active,Domestic Limited Liability Company,"646 HOWE AVENUE, UNIT #11",SHELTON,CT,6484
"ROPUSZYNSKI LAW, LLC",1229622,LUKASZ ROPUSZYNSKI,LUKASZ ROPUSZYNSKI,02/10/2017,Active,Domestic Limited Liability Company,169 OAKWOOD AVENUE,WEST HARTFORD,CT,6119
"ROSAN LAW GROUP, LLC",1036598,SHELLIE D. ROSAN,"SHELLIE D. ROSAN, ESQ",05/02/2011,Active,Domestic Limited Liability Company,"998 FARMINGTON AVENUE, SUITE 210",WEST HARTFORD,CT,6107
"ROSEMARK LAW, LLC",1093569,DANIEL S. ROSEMARK,DANIEL S. ROSEMARK,01/09/2013,Active,Domestic Limited Liability Company,"100 MILL PLAIN ROAD, 3RD FLOOR, 3RD FLOOR",DANBURY,CT,6811
"ROSENTHAL LAW FIRM, LLC",832355,EDWARD M. ROSENTHAL,"GREGORY J. SPUCHES, ESQ.",08/31/2005,Active,Domestic Limited Liability Company,18 NORTH MAIN STREET,WEST HARTFORD,CT,6107
"ROSSI LAW OFFICES, LTD.",284739,"ROBERT VINCENT ROSSI, ESQUIRE",C T CORPORATION SYSTEM,03/19/1993,Active,Foreign Stock Corporation,28 THURBER BOULEVARD,SMITHFIELD,RI,2917
"ROSS & ROSS, P.C. ATTORNEYS AT LAW",38781,LOIS K. ROSS,RAYMOND F ROSS,12/26/1972,Active,Domestic Stock Corporation,840 POST ROAD EAST,WESTPORT,CT,6880
"ROTHENBERG LAW OFFICES, P.C.",542550,"ALLAN M. ROTHENBERG, SUSAN ROTHENBERG",AMY LUTIN SAEDE,08/12/1996,Active,Domestic Stock Corporation,239 SILAS DEANE HIGHWAY,WETHERSFIELD,CT,6129
"ROY H. KRUEGER, ATTORNEY AT LAW, LLC",802626,ROY H. KRUEGER,ROY H. KRUEGER,11/22/2004,Active,Domestic Limited Liability Company,"100 MILL PLAIN ROAD, 4TH FLOOR",DANBURY,CT,6811
"RUANE, ATTORNEYS AT LAW LLC",846971,"JAMES J. RUANE, JAMES O. RUANE",JAMES J. RUANE,01/27/2006,Active,Domestic Limited Liability Company,"SUITE 305, 1 ENTERPRISE DRIVE",SHELTON,CT,6484
"RUBIN LAW GROUP, LLC",1054081,STEVEN L. RUBIN,STEVEN L. RUBIN,11/29/2011,Active,Domestic Limited Liability Company,1185 HIGHVIEW TERRACE,CHESHIRE,CT,6410
"RUBINO LAW, LLC",1278931,DAVID RUBINO,DAVID RUBINO,07/12/2018,Active,Domestic Limited Liability Company,"19 HALLS ROAD, STE. 237",OLD LYME,CT,6371
"RUCCI LAW GROUP, LLC",1052403,"AMY S. ZABETAKIS, JOSEPH J. RUCCI, JR.",AMY S. ZABETAKIS,10/31/2011,Active,Domestic Limited Liability Company,19 OLD KINGS HWY SOUTH,DARIEN,CT,6820
"RUSSELL A. KIMES, JR., P.C., ATTORNEY AT LAW",120637,,RUSSELL A. KIMES JR. ESQ,07/21/1981,Dissolved,Domestic Stock Corporation,49 LOCUST AVE,NEW CANAAN,CT,6840
RUSSELL-WALSH LAW GROUP PLLC,1301670,PATRICK RUSSELL-WALSH,PATRICK RUSSELL-WALSH,03/06/2019,Active,Domestic Limited Liability Company,"2 NORTH MAIN STREET, 2ND FLOOR",CHESTER,CT,6412
"RUTH WEISSMAN, ATTORNEY-AT-LAW, LLC",794791,RUTH WEISSMAN,RUTH WEISSMAN,08/27/2004,Active,Domestic Limited Liability Company,"2 TUNXIS ROAD, SUITE 200",TARIFFVILLE,,6081
"RWC, LLC, ATTORNEYS AND COUNSELORS AT LAW",1275750,JOAN REED WILSON,JOAN REED WILSON,06/09/2018,Active,Domestic Limited Liability Company,130 E. MAIN STREET,CLINTON,CT,6413
"SABETTA AND SABETTA, ATTORNEYS-AT-LAW, P.C.",207869,"ANDREW DANIEL SABETTA, ANDREW DANIEL SABETTA, JR","ANDREW SABETTA, JR.",10/20/1987,Dissolved,Domestic Stock Corporation,"BRADLEY POND PROFESSIONAL CENTER, 111 NEW HAVEN AVENUE",DERBY,CT,6418
"SABILIA LAW FIRM, LLC",1034964,ELIZABETH A. SABILIA,ELIZABETH A. SABILIA,04/15/2011,Active,Domestic Limited Liability Company,1 MONTAUK AVE,NEW LONDON,CT,6320
"SADLER LAW GROUP, L.L.C.",1194243,MATTHEW F. SADLER,BENJAMIN ERWIN,01/05/2016,Active,Domestic Limited Liability Company,"6 WEST RIVER ST., #30",MILFORD,CT,6460
"SAINT PIERRE LAW, LLC",1090898,ERIK B. ST. PIERRE,ERIK B. ST. PIERRE,12/10/2012,Active,Domestic Limited Liability Company,"104 FREDERICK ST., FLOOR 2",BRISTOL,CT,6010
"SAKAKINI LAW, LLC",817494,"SAKAKINI AT LAW, LLC",ALICE I SAKAKINI,04/04/2005,Active,Domestic Limited Liability Company,70 89TH STREET,BROOKLYN,NY,11209
"SA LAW, LLC",1139920,"STEVEN E. ARNOLD, LLC","STEVEN E. ARNOLD, LLC",04/09/2014,Dissolved,Domestic Limited Liability Company,25 GALE RD.,BLOOMFIELD,CT,6002
"SA LAW, P.C.",178367,STEVEN E. ARNOLD,STEVEN E. ARNOLD,01/02/1986,Active,Domestic Stock Corporation,"41 NORTH MAIN ST, STE 201",WEST HARTFORD,CT,6107
"SANBORN LAW FIRM, LLC",1331979,"ESTHER SANBORN, VON SANBORN",REGISTERED AGENTS INC.,01/06/2020,Active,Domestic Limited Liability Company,25 INDUSTRIAL PARK DRIVE,BRANFORD,CT,6405
SANDMAN LAW GROUP LLC,993752,ZEV I. SANDMAN,ZEV I. SANDMAN,01/21/2010,Active,Domestic Limited Liability Company,"123 YORK ST, SUITE 2B",NEW HAVEN,CT,6511
SANTIAGO LAW GROUP LLC,727048,RAFAEL A. SANTIAGO,RAFAEL A. SANTIAGO,09/27/2002,Active,Domestic Limited Liability Company,"ONE CONSTITUTION PLAZA, SUITE 900",HARTFORD,CT,6103
"SANTORO LAW OFFICE, LLC",762071,THOMAS A. SANTORO,THOMA A. SANTORO,10/20/2003,Active,Domestic Limited Liability Company,280-B MAIN STREET,NEW HARTFORD,CT,6057
"SAPIENZA LAW, LLC",1179429,MATTHEW SAPIENZA,MATTHEW SAPIENZA,06/22/2015,Active,Domestic Limited Liability Company,420 CAMPBELL AVE,WEST HAVEN,CT,6516
"SARAH PORISS, ATTORNEY AT LAW, LLC",954870,SARAH PORISS,SARAH PORISS,11/10/2008,Active,Domestic Limited Liability Company,777 FARMINGTON AVE,WEST HARTFORD,CT,6119
SARA OROZCO LAW OFFICE LLC,1341267,SARA OROZCO,REGISTERED AGENTS INC.,04/08/2020,Active,Domestic Limited Liability Company,"333 NAUGATUCK AVENUE, B",MILFORD,CT,6460
SASSO LAW LLC,1078680,"WARREN F SASSO, JR.","WARREN F. SASSO, JR.",07/23/2012,Active,Domestic Limited Liability Company,"SASSO LAW LLC, 5 FIELD STREET",SEYMOUR,CT,6483
"SAVOY LAW OFFICES, LLC",741956,RAYMOND J. SAVOY,RAYMOND J. SAVOY,03/05/2003,Dissolved,Domestic Limited Liability Company,173 PORTER AVE.,MIDDLEBURY,CT,6762
"SAWYER LAW FIRM, LLC",677098,SCOTT WILLIAM SAWYER,"SCOTT W. SAWYER, ESQ.",03/26/2001,Dissolved,Domestic Limited Liability Company,"THE JILL S. SAWYER BUILDING, 251 WILLIAMS ST.",NEW LONDON,CT,6320
"SAWYER LAW OFFICE, LLC",980075,ALICE B. SAWYER,ALICE B. SAWYER,08/12/2009,Active,Domestic Limited Liability Company,19 WHITMAN POND RD,SIMSBURY,CT,6070
S.B. NICKSE LAW OFFICES LLC,1100973,STEPHANIE B. NICKSE,ADAM M. SWANSON,03/25/2013,Active,Domestic Limited Liability Company,"100 MILL PLAIN ROAD, 3RD FLOOR",DANBURY,CT,6811
"SCALISE LAW OFFICES, P.C.",269433,,JAMES J. SCALISE,01/02/1992,Forfeited,Domestic Stock Corporation,PO BOX 1300,NEW BRITAIN,CT,6050
"SCHAFFER LAW, LLC",809987,SCOTT E SCHAFFER,SCOTT E SCHAFFER,02/02/2005,Active,Domestic Limited Liability Company,50 BAINTON RD.,WEST HARTFORD,CT,6117
"SCHAFLER LAW, LLC",1084049,NOAH J. SCHAFLER,NOAH J. SCHAFLER,09/20/2012,Active,Domestic Limited Liability Company,4 RESEARCH DR STE 402,SHELTON,CT,6484
"SCHATZ LAW OFFICES, LLC",923124,"RICHARD A GLASSMAN, ROBERT F. SCHATZ",RICHARD A. GLASSMAN,12/31/2007,Active,Domestic Limited Liability Company,"1007 FARMINGTON AVENUE, SUITE 4",WEST HARTFORD,CT,6107
"SCHNEIDER LAW FIRM, LLC",962301,DANIEL HOWARD SCHNEIDER,DANIEL HOWARD SCHNEIDER,02/06/2009,Active,Domestic Limited Liability Company,"112 BROAD STREET, FIRST FLOOR",MILFORD,CT,6460
